# NASA POWER climatology (power.larc.nasa.gov), annual means on an 8-degree global grid.
# WS50M = mean wind speed at 50 m (m/s); GHI = ALLSKY_SFC_SW_DWN (kWh/m2/day).
lat,lon,ws,ghi
72,-180,7.13,2.4043
72,-172,7.54,2.4156
72,-164,7.55,2.393
72,-156,7.34,2.4331
72,-148,7.26,2.4859
72,-140,7.12,2.5325
72,-132,6.75,2.49
72,-124,6.36,2.3198
72,-116,5.89,2.2574
72,-108,6.5,2.2606
72,-100,6.46,2.237
72,-92,6.32,2.429
72,-84,5.49,2.4146
72,-76,2.87,2.4367
72,-68,5.84,2.4542
72,-60,6.24,2.2313
72,-52,6.17,3.0199
72,-44,9.56,3.1913
72,-36,7.55,3.2762
72,-28,3.69,3.0931
72,-20,7.65,2.2212
72,-12,8.78,1.5818
72,-4,8.97,1.5194
72,4,9.16,1.4861
72,12,8.94,1.5242
72,20,8.68,1.6202
72,28,8.64,1.5936
72,36,8.54,1.5986
72,44,8.61,1.5706
72,52,8.01,2.0707
72,60,7.86,2.3527
72,68,7.44,2.0434
72,76,7.43,2.3088
72,84,6.99,2.1564
72,92,6.6,2.2289
72,100,6.11,2.2332
72,108,6.4,2.2378
72,116,6.01,2.2006
72,124,6.3,2.0806
72,132,6.55,2.3868
72,140,6.1,2.2658
72,148,5.95,2.3376
72,156,6.55,2.4048
72,164,6.75,2.4643
72,172,6.93,2.4566
64,-180,8.06,2.5543
64,-172,8.9,2.3482
64,-164,7.21,2.4725
64,-156,3.84,2.5284
64,-148,4.38,2.5594
64,-140,3.67,2.6215
64,-132,3.43,2.4948
64,-124,5.25,2.7396
64,-116,5.69,2.7617
64,-108,6.16,2.813
64,-100,6.68,2.7552
64,-92,6.74,2.8474
64,-84,6.87,2.4139
64,-76,7.07,2.4005
64,-68,6.66,2.6834
64,-60,8.08,2.4211
64,-52,6.14,2.539
64,-44,9.43,3.6619
64,-36,9.27,1.9834
64,-28,9.91,2.028
64,-20,7.69,2.6678
64,-12,10.25,1.9901
64,-4,9.72,2.0174
64,4,9.38,2.1326
64,12,4.93,2.1938
64,20,4.56,2.4504
64,28,4.56,2.3167
64,36,5.45,2.3954
64,44,4.38,2.3398
64,52,4.55,2.3498
64,60,4.59,2.4302
64,68,4.37,2.442
64,76,5.44,2.5178
64,84,6.39,2.4286
64,92,6.43,2.3714
64,100,4.22,2.5097
64,108,4.26,2.6266
64,116,4.3,2.6957
64,124,4.11,2.761
64,132,3.78,2.6746
64,140,4.35,2.7247
64,148,4.47,2.7259
64,156,4.51,2.6894
64,164,5.51,2.6081
64,172,5.4,2.556
56,-180,9.6,2.196
56,-172,9.54,2.2562
56,-164,8.93,2.4274
56,-156,9.06,2.5973
56,-148,9.16,2.5104
56,-140,8.77,2.4821
56,-132,4.06,2.4715
56,-124,3.36,3.0142
56,-116,4.34,3.1498
56,-108,4.24,3.1018
56,-100,4.26,3.1097
56,-92,4.65,3.1279
56,-84,8.28,3.4171
56,-76,7.3,2.9246
56,-68,6.9,2.9158
56,-60,9.02,2.8142
56,-52,10.15,2.2661
56,-44,10.82,2.2726
56,-36,11.09,2.2944
56,-28,11.02,2.3863
56,-20,10.91,2.447
56,-12,10.48,2.5726
56,-4,7.36,2.4521
56,4,9.22,2.8277
56,12,7.84,2.7552
56,20,8.3,2.9189
56,28,4.38,2.7931
56,36,6.25,2.7998
56,44,6.59,2.8776
56,52,5.74,2.9623
56,60,4.8,2.8596
56,68,6.92,3.0389
56,76,6.79,3.006
56,84,6.15,2.9434
56,92,4.79,2.9474
56,100,4.19,2.9873
56,108,3.73,2.9441
56,116,3.36,3.1006
56,124,4.4,3.1279
56,132,3.95,3.1289
56,140,7.5,2.9719
56,148,7.76,2.6364
56,156,4.99,2.8022
56,164,8.06,2.4132
56,172,9.28,2.2438
48,-180,10.34,2.5975
48,-172,10.38,2.652
48,-164,10.34,2.658
48,-156,10.31,2.7
48,-148,10.22,2.7406
48,-140,9.74,2.8466
48,-132,9.04,3.0586
48,-124,3.51,3.4778
48,-116,3.44,3.6235
48,-108,6.91,3.9691
48,-100,7.11,3.8729
48,-92,4.75,3.4723
48,-84,4.66,3.4078
48,-76,4.67,3.2587
48,-68,5.13,3.2674
48,-60,9.09,3.0446
48,-52,9.61,3.005
48,-44,10.56,2.7482
48,-36,10.9,2.8433
48,-28,10.61,2.9335
48,-20,10.12,3.0293
48,-12,9.37,3.24
48,-4,7.24,3.2698
48,4,5.98,3.2952
48,12,4.18,3.2494
48,20,4.68,3.2815
48,28,5.78,3.4906
48,36,6.29,3.5419
48,44,6.54,3.689
48,52,6.48,3.9295
48,60,6.49,4.1074
48,68,6.42,4.1861
48,76,6.13,4.2446
48,84,4.92,4.1566
48,92,4.12,4.2631
48,100,5.65,4.1642
48,108,6.16,3.9787
48,116,6.46,4.2547
48,124,5.93,3.893
48,132,4.53,3.7217
48,140,5.98,3.1466
48,148,8.67,2.795
48,156,9.55,2.6268
48,164,10.04,2.5697
48,172,10.23,2.5606
40,-180,10.05,3.2443
40,-172,9.85,3.3211
40,-164,9.59,3.3926
40,-156,9.46,3.4363
40,-148,9.11,3.5078
40,-140,8.61,3.565
40,-132,8.33,3.7788
40,-124,3.82,4.8691
40,-116,4.77,4.8432
40,-108,5.22,4.7366
40,-100,7.06,4.5259
40,-92,6.52,4.0812
40,-84,6.48,3.9173
40,-76,4.92,3.8563
40,-68,8.82,3.8119
40,-60,9.92,3.6019
40,-52,9.82,3.6696
40,-44,9.57,3.8362
40,-36,9.19,3.9799
40,-28,8.46,4.007
40,-20,8.08,3.9682
40,-12,8.11,4.3164
40,-4,5.25,4.7033
40,4,6.1,4.5401
40,12,5.8,4.6267
40,20,3.55,4.2648
40,28,5.52,4.2778
40,36,5.09,4.2103
40,44,4.32,4.2497
40,52,6.1,4.3414
40,60,6.09,4.8746
40,68,3.46,4.6598
40,76,4.69,4.4858
40,84,4.37,4.775
40,92,4.76,5.0302
40,100,5.85,4.9342
40,108,6.29,4.8466
40,116,4.93,4.2502
40,124,5.77,3.7769
40,132,7.29,3.7896
40,140,6.78,3.2885
40,148,9.22,3.3708
40,156,9.79,3.1798
40,164,9.94,3.1248
40,172,10.12,3.151
32,-180,8.04,4.5163
32,-172,7.88,4.56
32,-164,7.65,4.6306
32,-156,7.55,4.6488
32,-148,7.26,4.6565
32,-140,6.83,4.523
32,-132,6.67,4.4388
32,-124,7.44,4.596
32,-116,4.25,5.9342
32,-108,6.22,5.8205
32,-100,6.9,5.0986
32,-92,5.03,4.6255
32,-84,5.47,4.6474
32,-76,7.5,4.3882
32,-68,7.34,4.6886
32,-60,7.28,4.7942
32,-52,7.13,4.9272
